Infinitive,English,Type,Class,Conjugation
achomharc,appeal,v1a,class1,1
adhmhol,extol,v1a,class1,1
aducht,adduct,v1a,class1,1
aimhriar,disorder,v1a,class1,1
ainéal,anneal,v1a,class1,1
aisghabh,retake,v1a,class1,1
aisíoc,repay,v1a,class1,1
aislíon,backfill,v1a,class1,1
aisphreab,rebound,v1a,class1,1
aitheasc,address,v1a,class1,1
alp,devour,v1a,class1,1
alt,articulate,v1a,class1,1
amharc,look,v1a,class1,1
amhrán,sing a song,v1a,class1,1
aol,lime,v1a,class1,1
aom,attract,v1a,class1,1
aor,satirize,v1a,class1,1
arg,destroy,v1a,class1,1
at,swell,v1a,class1,1
ataifead,rerecord,v1a,class1,1
athaol,relime,v1a,class1,1
athchas,tum again,v1a,class1,1
athcheap,reappoint,v1a,class1,1
ath-chlóscríobh,retype,v1a,class1,1
athchraol,retransmit,v1a,class1,1
athchrom,resume,v1a,class1,1
athchum,reconstruct,v1a,class1,1
athdhéan,redo,v1a,class1,1
athdhear,redesign,v1a,class1,1
athdhiol,resell,v1a,class1,1
athdhíon,reroof,v1a,class1,1
athfhéach,reflect,v1a,class1,1
athfhionn,rediscover,v1a,class1,1
athghabh,retake,v1a,class1,1
athghlan,reclean,v1a,class1,1
athghléas,refit,v1a,class1,1
athghor,reheat,v1a,class1,1
ath-imscar,redeploy,v1a,class1,1
athlas,relight,v1a,class1,1
athleag,re-lay,v1a,class1,1
athlíon,refill,v1a,class1,1
athmheas,revise,v1a,class1,1
athmheasc,remix,v1a,class1,1
athnasc,reclasp,v1a,class1,1
athnocht,exhume,v1a,class1,1
athphoU,reperforate,v1a,class1,1
athphós,remarry,v1a,class1,1
athphreab,rebound,v1a,class1,1
athraon,refract,v1a,class1,1
athriar,readminister,v1a,class1,1
athscag,refilter,v1a,class1,1
athscriobh,rewrite,v1a,class1,1
athshann,reassign,v1a,class1,1
athsheol,readdress,v1a,class1,1
athshon,resonate,v1a,class1,1
athspreag,reincite,v1a,class1,1
atóg,rebuild,v1a,class1,1
atogh,reelect,v1a,class1,1
atoll,re-bore,v1a,class1,1
atrácht,retread,v1a,class1,1
atreabh,replow,v1a,class1,1
bac,hinder,v1a,class1,1
ballbhasc,maim,v1a,class1,1
barr',surpass,v1a,class1,1
barr2,hinder,v1a,class1,1
barrghearr,top,v1a,class1,1
barrUon,top up,v1a,class1,1
basc,bash,v1a,class1,1
bearr,clip,v1a,class1,1
beibheal,bevel,v1a,class1,1
beoghearr,vivisect,v1a,class1,1
beophian,tantalize,v1a,class1,1
bíog,start,v1a,class1,1
bior-róst,spitroast,v1a,class1,1
bladhm,flame,v1a,class1,1
blaosc,puff,v1a,class1,1
blogh,shatter,v1a,class1,1
blosc,crack,v1a,class1,1
bog,soften,v1a,class1,1
bogchas,jog,v1a,class1,1
bogh,bow,v1a,class1,1
bolg,bulge,v1a,class1,1
borr,swell,v1a,class1,1
bosc,bush,v1a,class1,1
breab,bribe,v1a,class1,1
breac,speckle,v1a,class1,1
bréag,cajole,v1a,class1,1
bréan,poUute,v1a,class1,1
briog,prick,v1a,class1,1
broc,spoil,v1a,class1,1
brón,grieve,v1a,class1,1
bronn,grant,v1a,class1,1
brúcht,belch,v1a,class1,1
bruion,quarrel,v1a,class1,1
buac,lixiviate,v1a,class1,1
buantonn,perm,v1a,class1,1
buiséad,budget,v1a,class1,1
burr,burr,v1a,class1,1
cac,defecate,v1a,class1,1
calc,caulk,v1a,class1,1
cam,bend,v1a,class1,1
can,sing,v1a,class1,1
caoch,blind,v1a,class1,1
caoindíol,soft-sell,v1a,class1,1
car,love,v1a,class1,1
cam,heap,v1a,class1,1
cart,tan,v1a,class1,1
cas,twist,v1a,class1,1
céadcheap,invent,v1a,class1,1
cealg,beguile,v1a,class1,1
ceap,invent,v1a,class1,1
céas,crucify,v1a,class1,1
céimbhog,inch,v1a,class1,1
ciap,harass,v1a,class1,1
ciar,wax,v1a,class1,1
cineach,devolve,v1a,class1,1
cionn,take care of,v1a,class1,1
cíor,comb,v1a,class1,1
clab,swallow greedily,v1a,class1,1
clag,clack,v1a,class1,1
claon,incline,v1a,class1,1
cleacht,perform habitually,v1a,class1,1
cliath,harrow,v1a,class1,1
cloch,stone,v1a,class1,1
clog,blister,v1a,class1,1
clóscríobh,type,v1a,class1,1
cnag,knock,v1a,class1,1
cnap,heap,v1a,class1,1
cnead,pant,v1a,class1,1
cniog,rap,v1a,class1,1
coc,cock,v1a,class1,1
coimeád,keep,v1a,class1,1
coimhéad,guard,v1a,class1,1
cóimheas,compare,v1a,class1,1
cóimheasc,coalesce,v1a,class1,1
coimpléasc,complex,v1a,class1,1
coincheap,conceive,v1a,class1,1
coinscríobh,conscript,v1a,class1,1
coirbéal,corbel,v1a,class1,1
comhchlaon,converge,v1a,class1,1
comhdhéan,constitute,v1a,class1,1
comhghléas,tune in,v1a,class1,1
comhlean,cohere,v1a,class1,1
comhlion,fulfill,v1a,class1,1
comhriar,communicate,v1a,class1,1
comhthóg,build up,v1a,class1,1
comhthogh,co-opt,v1a,class1,1
conducht,conduct,v1a,class1,1
cor,tum,v1a,class1,1
corb,corrupt,v1a,class1,1
com,roU,v1a,class1,1
crág,chelate,v1a,class1,1
craobhieath,layer,v1a,class1,1
craol,announce,v1a,class1,1
craosfholc,gargle,v1a,class1,1
crap,contract,v1a,class1,1
creach,raid,v1a,class1,1
créam,cremate,v1a,class1,1
crean,obtain,v1a,class1,1
creath,tremble,v1a,class1,1
críon,wither,v1a,class1,1
croch,hang,v1a,class1,1
crom,bend,v1a,class1,1
cros,cross,v1a,class1,1
crosghrean,crosshatch,v1a,class1,1
crostreabh,cross-plow,v1a,class1,1
cruach,stack,v1a,class1,1
cruan,enamel,v1a,class1,1
cuach,bundle,v1a,class1,1
cuar,curve,v1a,class1,1
cúb,bend,v1a,class1,1
cúiréad,curette,v1a,class1,1
cúlcham,stockpile,v1a,class1,1
cúlchas,rewind,v1a,class1,1
cúlghearr,backbite,v1a,class1,1
cúlghlan,back out,v1a,class1,1
cúlsmiot,backchip,v1a,class1,1
cúltort,backfire,v1a,class1,1
cum,form,v1a,class1,1
cúr,chastise,v1a,class1,1
dall,blind,v1a,class1,1
daUscriobh,blind-write,v1a,class1,1
dámh,concede,v1a,class1,1
daor,enslave,v1a,class1,1
daorbhasc,maul severely,v1a,class1,1
dath,aUocate,v1a,class1,1
dea-mheas,approve,v1a,class1,1
deann,color,v1a,class1,1
dear,draw,v1a,class1,1
dearbhasc,affirm,v1a,class1,1
dearc,look,v1a,class1,1
dearg,redden,v1a,class1,1
dearmad,forget,v1a,class1,1
deasc,settle,v1a,class1,1
deimhneasc,aver,v1a,class1,1
deoch,immerse,v1a,class1,1
di-adharc,dehom,v1a,class1,1
diall,incline,v1a,class1,1
díbhlogh,defragment,v1a,class1,1
díbholg,deflate,v1a,class1,1
di-bhurr,deburr,v1a,class1,1
dícheann,behead,v1a,class1,1
díchónasc,disconnect,v1a,class1,1
díchom,unwind,v1a,class1,1
díchruach,unstack,v1a,class1,1
díchuach,unbundle,v1a,class1,1
díchum,deform,v1a,class1,1
díghléas,demount,v1a,class1,1
dilasc,disconnect,v1a,class1,1
dimheas,depreciate,v1a,class1,1
dímhol,dispraise,v1a,class1,1
dínasc,unclasp,v1a,class1,1
díobh,extinguish,v1a,class1,1
díochlaon,decline,v1a,class1,1
díol,sell,v1a,class1,1
dion,protect,v1a,class1,1
diosc,dissect,v1a,class1,1
diosc,creak,v1a,class1,1
díphéac,disbud,v1a,class1,1
díraon,diffract,v1a,class1,1
discríobh,write off,v1a,class1,1
díscrios,undelete,v1a,class1,1
díscrobh,unscramble,v1a,class1,1
díshioc,defrost,v1a,class1,1
díshlóg,demobilize,v1a,class1,1
dishrian,decontrol,v1a,class1,1
díspeag,belittle,v1a,class1,1
díspreag,deter,v1a,class1,1
diúg,drain,v1a,class1,1
diúl,suck,v1a,class1,1
docht,tighten,v1a,class1,1
dol,loop,v1a,class1,1
dord,hum,v1a,class1,1
drann,snarl,v1a,class1,1
dreach,delineate,v1a,class1,1
dreap,climb,v1a,class1,1
driog,distill,v1a,class1,1
droimscríobh,endorse,v1a,class1,1
dual,twine,v1a,class1,1
dúghabh,obsess,v1a,class1,1
dúmhál,blackmail,v1a,class1,1
dún,close,v1a,class1,1
dúthum,plunge,v1a,class1,1
éag,die,v1a,class1,1
éar,refuse,v1a,class1,1
earb,trust,v1a,class1,1
easghlan,scavenge,v1a,class1,1
castósc,extract,v1a,class1,1
eiscríobh,escribe,v1a,class1,1
eiséat,escheat,v1a,class1,1
eisfhear,excrete,v1a,class1,1
eisiacht,eject,v1a,class1,1
eisíoc,disburse,v1a,class1,1
eisleath,effuse,v1a,class1,1
eistréat,estreat,v1a,class1,1
fág,leave,v1a,class1,1
eiscríobh,escribe,v1a,class1,1
eiséat,escheat,v1a,class1,1
eisfhear,excrete,v1a,class1,1
eisiacht,eject,v1a,class1,1
eisíoc,disburse,v1a,class1,1
eisleath,effuse,v1a,class1,1
eistréat,estreat,v1a,class1,1
fág,leave,v1a,class1,1
fan,stay,v1a,class1,1
faomh,accept,v1a,class1,1
fás,grow,v1a,class1,1
fáthmheas,diagnose,v1a,class1,1
feac,bend,v1a,class1,1
féach,look,v1a,class1,1
feall,betray,v1a,class1,1
feann,flay,v1a,class1,1
fear,grant,v1a,class1,1
fiach,hunt,v1a,class1,1
fiar,slant,v1a,class1,1
fionn',whiten,v1a,class1,1
fionn1,ascertain,v1a,class1,1
fiuch,boil,v1a,class1,1
fliuch,wet,v1a,class1,1
flosc,excite,v1a,class1,1
foghearr,undercut,v1a,class1,1
fo-ghlac,subsume,v1a,class1,1
foilseán,exhibit,v1a,class1,1
foirceann,terminate,v1a,class1,1
fol,molt,v1a,class1,1
folc,bathe,v1a,class1,1
folean,follow after,v1a,class1,1
foleath,underlay,v1a,class1,1
foh'on,supplement,v1a,class1,1
forchoimeád,reserve,v1a,class1,1
forghabh,grasp,v1a,class1,1
forleag,overlay,v1a,class1,1
forlean,adhere,v1a,class1,1
foriéas,demise,v1a,class1,1
forleath,broadcast,v1a,class1,1
forlíon,overfill,v1a,class1,1
formheas,approve,v1a,class1,1
formhol,eulogize,v1a,class1,1
formhúch,smother,v1a,class1,1
forscríobh,overwrite,v1a,class1,1
forthacht,garrotte,v1a,class1,1
foscríobh,subscribe,v1a,class1,1
fostríoc,underscore,v1a,class1,1
freang,twist,v1a,class1,1
frioch,fry,v1a,class1,1
frithgheall,underwrite,v1a,class1,1
frithsheol,reverse,v1a,class1,1
fritoll,counterbore,v1a,class1,1
fual,urinate,v1a,class1,1
gabh,take,v1a,class1,1
gág,crack,v1a,class1,1
galstobh,braise,v1a,class1,1
gannmheas,underestimate,v1a,class1,1
garbhtholl,roughbore,v1a,class1,1
geab,talk,v1a,class1,1
geal,whiten,v1a,class1,1
geall,pledge,v1a,class1,1
geallearb,pawn,v1a,class1,1
gearr,cut,v1a,class1,1
gearrchiorcad,short-circuit,v1a,class1,1
giob,pick,v1a,class1,1
gíog,cheep,v1a,class1,1
giolc1,cane,v1a,class1,1
giolc2,tweet,v1a,class1,1
glac,take,v1a,class1,1
glam,bark,v1a,class1,1
glám,grab,v1a,class1,1
glan,clean,v1a,class1,1
glean,stick,v1a,class1,1
gléas,adjust,v1a,class1,1
gléghlan,clarify,v1a,class1,1
gob,peck,v1a,class1,1
góchum,counterfeit,v1a,class1,1
glac,take,v1a,class1,1
glam,bark,v1a,class1,1
glám,grab,v1a,class1,1
glan,clean,v1a,class1,1
glean,stick,v1a,class1,1
gléas,adjust,v1a,class1,1
gléghlan,clarify,v1a,class1,1
gob,peck,v1a,class1,1
góchum,counterfeit,v1a,class1,1
gor,heat,v1a,class1,1
gortghlan,weed out,v1a,class1,1
graf,graph,v1a,class1,1
gread,strike <,v1a,class1,1
grean,engrave,v1a,class1,1
grian,sun,v1a,class1,1
grinndearc,scrutinize,v1a,class1,1
grinneall,sound,v1a,class1,1
griog,tease,v1a,class1,1
grioll,grill,v1a,class1,1
gríosc,broil,v1a,class1,1
grod,quicken,v1a,class1,1
iarr,request,v1a,class1,1
iasc,fish,v1a,class1,1
idircheap,intercept,v1a,class1,1
idirfhás,intergrow,v1a,class1,1
idirghabh,intervene,v1a,class1,1
idirleath,diffuse,v1a,class1,1
idirscar,part,v1a,class1,1
idirstcali,interject,v1a,class1,1
imchas,rotate,v1a,class1,1
imdhearg,reproach,v1a,class1,1
imdhíon,immunize,v1a,class1,1
imeasc,integrate,v1a,class1,1
imghabh,avoid,v1a,class1,1
imghlan,cleanse,v1a,class1,1
imphléasc,collapse,v1a,class1,1
imscar,separate,v1a,class1,1
imscríobh,circumscribe,v1a,class1,1
imthnúth,envy,v1a,class1,1
iniúch,scrutinize,v1a,class1,1
inleag,inlay,v1a,class1,1
inleath,suffuse,v1a,class1,1
inneallghrean,engine-turn,v1a,class1,1
innghread,tip,v1a,class1,1
inphléasc,implode,v1a,class1,1
inscríobh,inscribe,v1a,class1,1
inspreag,inspire,v1a,class1,1
insteall,inject,v1a,class1,1
ioc1,pay,v1a,class1,1
íoc2,heal,v1a,class1,1
ionghabh,ingest,v1a,class1,1
íonghlan,purify,v1a,class1,1
íosfhreang,downwarp,v1a,class1,1
íosnasc,downlink,v1a,class1,1
lag,ease,v1a,class1,1
lámhacán,walk,v1a,class1,1
lámhach,shoot,v1a,class1,1
lámhtheann,handtighten,v1a,class1,1
laobh,bend,v1a,class1,1
las,light,v1a,class1,1
lasairdhíon,flameproof,v1a,class1,1
lasc,lash,v1a,class1,1
leac,stave in,v1a,class1,1
leadhb,tear in strips,v1a,class1,1
ieag,knock down,v1a,class1,1
lcamh,render impotent,v1a,class1,1
lean,follow,v1a,class1,1
leang,strike,v1a,class1,1
léas,welt,v1a,class1,1
leaschraol,relay,v1a,class1,1
leath,spread,v1a,class1,1
leibhéal,level,v1a,class1,1
leigheas,heal,v1a,class1,1
léirghlan,clarify,v1a,class1,1
léirscríobh,engross,v1a,class1,1
léirscrios,devastate,v1a,class1,1
leithghabh,appropriate,v1a,class1,1
leithscar,segregate,v1a,class1,1
leornh,allow,v1a,class1,1
leon,sprain,v1a,class1,1
liath,gray,v1a,class1,1
liomh,grind,v1a,class1,1
líon,fill,v1a,class1,1
lipéad,tag,v1a,class1,1
liteagraf,lithograph,v1a,class1,1
liúr,beat,v1a,class1,1
lobh,rot,v1a,class1,1
loc',pen,v1a,class1,1
loc’,pluck,v1a,class1,1
lóg,cry,v1a,class1,1
iogh,remit,v1a,class1,1
lom,lay bare,v1a,class1,1
lomlion,fill to capacity,v1a,class1,1
long,swallow,v1a,class1,1
luasc,swing,v1a,class1,1
lúb,loop,v1a,class1,1
masc,mask,v1a,class1,1
meall,beguile,v1a,class1,1
meallac,saunter,v1a,class1,1
meang,lop,v1a,class1,1
mearchas,fast-forward,v1a,class1,1
méartheann,finger-tighten,v1a,class1,1
meas,estimate,v1a,class1,1
measc,mix,v1a,class1,1
meath,decline,v1a,class1,1
míchum,deform,v1a,class1,1
mímheas,misestimate,v1a,class1,1
mímhol,dispraise,v1a,class1,1
mínghlan,refine,v1a,class1,1
míog,cheep,v1a,class1,1
mionbhreac,stipple,v1a,class1,1
miondíol,retail,v1a,class1,1
mionghearr,shred,v1a,class1,1
mionscag,fine-filter,v1a,class1,1
mionstiall,shred,v1a,class1,1
mionteagasc,brief,v1a,class1,1
miriar,mismanage,v1a,class1,1
mísheol,misdirect,v1a,class1,1
mol,praise,v1a,class1,1
mór,magnify,v1a,class1,1
morg,corrupt,v1a,class1,1
múch,smother,v1a,class1,1
múchghlan,fúmigate,v1a,class1,1
mún,urinate,v1a,class1,1
múr',wall in,v1a,class1,1
múr2,raze,v1a,class1,1
nasc,tie,v1a,class1,1
nasc-ghabh,annex,v1a,class1,1
niamh,brighten,v1a,class1,1
niamhghlan,bumish,v1a,class1,1
nocht,bare,v1a,class1,1
nog,nog,v1a,class1,1
ob,refuse,v1a,class1,1
oirnéal,decorate,v1a,class1,1
ól,drink,v1a,class1,1
paca-líon,pack-fill,v1a,class1,1
painéal,panel,v1a,class1,1
paistéar,pasteurize,v1a,class1,1
péac,sprout,v1a,class1,1
pian,pain,v1a,class1,1
píob,hoarsen,v1a,class1,1
pioc,pick,v1a,class1,1
plab,plop,v1a,class1,1
plac,gobble,v1a,class1,1
planc,beat,v1a,class1,1
pléasc,explode,v1a,class1,1
phic,bulge,v1a,class1,1
plúch,smother,v1a,class1,1
poc1,slink,v1a,class1,1
poc2,copulate,v1a,class1,1
podchraol,podcast,v1a,class1,1
póg,kiss,v1a,class1,1
poll,hole,v1a,class1,1
pós,marry,v1a,class1,1
preab,start,v1a,class1,1
préach,perish,v1a,class1,1
prioc,prick,v1a,class1,1
promh,prove,v1a,class1,1
puc,shuffle,v1a,class1,1
pulc,stuff,v1a,class1,1
púsc1,ooze,v1a,class1,1
púsc2,sweat,v1a,class1,1
rac,hit,v1a,class1,1
rad,throw,v1a,class1,1
réab,tear,v1a,class1,1
réal,manifest,v1a,class1,1
réamhcheap,preconceive,v1a,class1,1
réamhchleacht,rehearse,v1a,class1,1
réamhchrap,preshrink,v1a,class1,1
réamhdhéan,prefabricate,v1a,class1,1
réamhghabh,anticipate,v1a,class1,1
réamhíoc,prepay,v1a,class1,1
réamhleag,premise,v1a,class1,1
réamh-mheas,predict,v1a,class1,1
reang,fudge,v1a,class1,1
réchas,twist slowly,v1a,class1,1
rélíon,flush-fill,v1a,class1,1
riall,rend,v1a,class1,1
riar,administer,v1a,class1,1
ríomh,count,v1a,class1,1
rionn,carve,v1a,class1,1
roc,wrinkle,v1a,class1,1
rod,rot,v1a,class1,1
róghearr,overcut,v1a,class1,1
roisghlan,blast-clean,v1a,class1,1
roll,roll,v1a,class1,1
rómheas,overestimate,v1a,class1,1
rop,thrust,v1a,class1,1
ró-shuibscríobh,oversubscribe,v1a,class1,1
róst,roast,v1a,class1,1
rótachart,rotovate,v1a,class1,1
rótheann,overtighten,v1a,class1,1
rúnscriobh,cipher,v1a,class1,1
sábh,saw,v1a,class1,1
sac,pack,v1a,class1,1
saincheap,customize,v1a,class1,1
sann,assign,v1a,class1,1
saobh,slant,v1a,class1,1
saor,free,v1a,class1,1
saorghlan,purge,v1a,class1,1
scag,strain,v1a,class1,1
scal,flash,v1a,class1,1
scall,scald,v1a,class1,1
scamh,peel,v1a,class1,1
scan,scan,v1a,class1,1
scaob,scoop,v1a,class1,1
scar,part,v1a,class1,1
scead,blaze,v1a,class1,1
scealp,splinter,v1a,class1,1
sceamh,yelp,v1a,class1,1
scean,knife,v1a,class1,1
sciath,screen,v1a,class1,1
sciob,snatch,v1a,class1,1
scioll,scold,v1a,class1,1
sciorr,slip,v1a,class1,1
sciot,snip,v1a,class1,1
scuab,sweep,v1a,class1,1
scuch,remove,v1a,class1,1
sead,blow,v1a,class1,1
séan1,sign,v1a,class1,1
séan2,deny,v1a,class1,1
seapán,japan,v1a,class1,1
searg,waste,v1a,class1,1
searr,stretch,v1a,class1,1
seas,stand,v1a,class1,1
seol,sail,v1a,class1,1
sil-leag,deposit,v1a,class1,1
siob,blow,v1a,class1,1
sioc,freeze,v1a,class1,1
siofón,siphon,v1a,class1,1
síog,streak,v1a,class1,1
síol,seed,v1a,class1,1
siolp,suck,v1a,class1,1
siolt,silt,v1a,class1,1
síolteagasc,indoctrinate,v1a,class1,1
siorc,jerk,v1a,class1,1
sios,hiss,v1a,class1,1
siosc1,trim,v1a,class1,1
siosc2,fízz,v1a,class1,1
siséal,chisel,v1a,class1,1
slac,bat,v1a,class1,1
slad,plunder,v1a,class1,1
slám,tease,v1a,class1,1
slaod,mow down,v1a,class1,1
slaon,tease,v1a,class1,1
sléacht,kneel,v1a,class1,1
sliob,rub,v1a,class1,1
slíoc,sleek,v1a,class1,1
sliom,smooth,v1a,class1,1
sliop,snatch,v1a,class1,1
slócht,hoarsen,v1a,class1,1
slog,swallow,v1a,class1,1
slóg,mobilize,v1a,class1,1
smeach,flick,v1a,class1,1
smear,smear,v1a,class1,1
smíocht,smite,v1a,class1,1
smiog,pass out,v1a,class1,1
smiot,hit,v1a,class1,1
smol,blight,v1a,class1,1
smúr,sniff,v1a,class1,1
smut,truncate,v1a,class1,1
snamh,peel,v1a,class1,1
snámh,swim,v1a,class1,1
snap,snap,v1a,class1,1
sniog,milk dry,v1a,class1,1
sníomh,spin,v1a,class1,1
socht,become silent,v1a,class1,1
sodarchas,shuttle,v1a,class1,1
sop,light with straw,v1a,class1,1
spall,scorch,v1a,class1,1
spalp,burst forth,v1a,class1,1
sparr,secure,v1a,class1,1
speach,kick,v1a,class1,1
speal,mow,v1a,class1,1
spear,spear,v1a,class1,1
spíon,tease,v1a,class1,1
spionn,animate,v1a,class1,1
splanc,flash,v1a,class1,1
spléach,glance,v1a,class1,1
sph'on,spline,v1a,class1,1
spoch,castrate,v1a,class1,1
spól,cut into joints,v1a,class1,1
spor,spur,v1a,class1,1
spréach,spark,v1a,class1,1
spreag,urge,v1a,class1,1
sprioc,stake,v1a,class1,1
spriúch,kick,v1a,class1,1
srac,pull,v1a,class1,1
sram,become blear,v1a,class1,1
srann,snore,v1a,class1,1
sraon,pull,v1a,class1,1
sreabh,stream,v1a,class1,1
sreang,drag,v1a,class1,1
srian,bridle,v1a,class1,1
stad,stop,v1a,class1,1
stalc,set,v1a,class1,1
stán,stare,v1a,class1,1
stang1,dowel,v1a,class1,1
stang2,bend,v1a,class1,1
staon,stop,v1a,class1,1
steall,splash,v1a,class1,1
steanc,squirt,v1a,class1,1
stiall,rend,v1a,class1,1
stiúg,expire,v1a,class1,1
stobh,stew,v1a,class1,1
stoc-cham,stockpile,v1a,class1,1
stoll,tear,v1a,class1,1
stolp,harden,v1a,class1,1
stop,stop,v1a,class1,1
strioc,strike,v1a,class1,1
stromp,stiffen,v1a,class1,1
stuc,stook,v1a,class1,1
suibscríobh,subscribe,v1a,class1,1
tacht,choke,v1a,class1,1
taifead,record,v1a,class1,1
taiscéal,explore,v1a,class1,1
tál,yield,v1a,class1,1
taobhrian,offset,v1a,class1,1
taom,bail,v1a,class1,1
taosc,bail out,v1a,class1,1
targhabh,skip,v1a,class1,1
tarmchas,turn over,v1a,class1,1
tarshreabh,flow past,v1a,class1,1
tascar,intercept,v1a,class1,1
teacht,hold,v1a,class1,1
téacht,freeze,v1a,class1,1
teagasc,teach,v1a,class1,1
teann,tighten,v1a,class1,1
teasc,lop,v1a,class1,1
teasdion,insulate,v1a,class1,1
timpeallghearr,circumcise,v1a,class1,1
tíor,parch,v1a,class1,1
tirimfhrioch,dry-fry,v1a,class1,1
ririmghlan,dry-clean,v1a,class1,1
tnúth,envy,v1a,class1,1
tobchum,improvise,v1a,class1,1
tobmheas,subitize,v1a,class1,1
tóch,dig,v1a,class1,1
tóg,take,v1a,class1,1
togh,choose,v1a,class1,1
toirtmheasc,titrate,v1a,class1,1
tolg,attack,v1a,class1,1
toll,bore,v1a,class1,1
tonach,wash,v1a,class1,1
tonn,billow,v1a,class1,1
torc,torque,v1a,class1,1
tost,become silent,v1a,class1,1
trácht1,travel,v1a,class1,1
trácht2,mention,v1a,class1,1
traoch,overcome,v1a,class1,1
traost,lay low,v1a,class1,1
trasbhreac,crossplot,v1a,class1,1
tras-chlóscríobh,transtype,v1a,class1,1
trascríobh,transcribe,v1a,class1,1
traseol,transmit,v1a,class1,1
treabh,plow,v1a,class1,1
treaghd,pierce,v1a,class1,1
tréanphlanc,slam-dunk,v1a,class1,1
tréleath,profuse,v1a,class1,1
tréthál,transude,v1a,class1,1
triall,joumey,v1a,class1,1
triosc,interrupt,v1a,class1,1
truaillmheasc,adulterate,v1a,class1,1
truicear,trigger,v1a,class1,1
trust,trust,v1a,class1,1
tuar1,augur,v1a,class1,1
tuar2,bleach,v1a,class1,1
tum,dip,v1a,class1,1
túschan,intone,v1a,class1,1
uasfhreang,unwarp,v1a,class1,1
úc,tuck,v1a,class1,1
ung,anoint,v1a,class1,1
urbhac,estop,v1a,class1,1
urghabh,seize,v1a,class1,1
úsc,ooze,v1a,class1,1
